Город;Описание;Картинка;Голосов;Ссылка
МЕЖДУРЕЧЕНСК;КЕМЕРОВСКАЯ ОБЛАСТЬ, ГОРОД МЕЖДУРЕЧЕНСК, УЛИЦА ПУШКИНА, 14, МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ "СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 19 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ОТДЕЛЬНЫХ ПРЕДМЕТОВ" МЫ, РОДИТЕЛИ УЧАЩИХСЯ ШКОЛЫ И ВЕСЬ ПЕДАГОГИЧЕСКИЙ КОЛЛЕКТИВ, ПОДДЕРЖИВАЕМ ИНИЦИАТИВУ И ВЕРИМ, ЧТО НАШИ ДЕТИ В ТОМ ЧИСЛЕ И ДЕТИ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ ЗДОРОВЬЯ, СМОГУТ В БЛИЖАЙШЕМ БУДУЩЕМ УВИДЕТЬ СОВРЕМЕННЫЕ ТУАЛЕТНЫЕ КОМНАТЫ ДЛЯ ДЕТЕЙ В ОДНОЙ ИЗ СТАРЕЙШИХ ШКОЛ ГОРОДА. ЭТО БУДЕТ ПРЕКРАСНЫЙ ПОДАРОК В ЮБИЛЕЙНЫЙ ГОД (2021Г.):\R\N- 55 ЛЕТ СО ДНЯ ОБРАЗОВАНИЯ ШКОЛЫ,\R\N- 300 ЛЕТ КУЗБАССУ.;https://www.promonado.ru/domestos-schools/thumb/381E56BB-031F-4453-BCB5-297DED8B69E1.jpg;956;https://www.promonado.ru/domestos-schools/?voteid=133
ЕКАТЕРИНБУРГ;ЕКАТЕРИНБУРГ, ЛУННАЯ 5А. МБОУСОШ 98 ШКОЛА СТАРАЯ, ПОЛ ДЕРЕВЯННЫЙ И ШАТКИЙ, РЕМОНТ ОСУЩЕСТВЛЯЕТСЯ КРАЙНЕ РЕДКО. САНУЗЕЛ В ПЛАЧЕВНОМ СОСТОЯНИИ. ВОДА ТОЛЬКО ХОЛОДНАЯ, КАБИНОК НЕТ.;https://www.promonado.ru/domestos-schools/thumb/3F647A8D-2D19-43E7-9947-8F415FFA118B.jpg;85;https://www.promonado.ru/domestos-schools/?voteid=135
КИРОВСКАЯ ОБЛАСТЬ;МКОУ СОШ П.ОКТЯБРЬСКИЙ ФАЛЕНСКОГО РАЙОНА КИРОВСКОЙ ОБЛАСТИ ДАЖЕ ОПИСЫВАТЬ НЕ НАДО,ПО ФОТО ВИДНО ВСЁ (((;https://www.promonado.ru/domestos-schools/thumb/ED44E84A-41DF-4752-8B7B-6E880986798A.jpg;21;https://www.promonado.ru/domestos-schools/?voteid=136
ВЛАДИВОСТОК;УЛ. ЧКАЛОВА 15, СРЕДНЯЯ ШКОЛА 58 ТУАЛЕТЫ ШКОЛЫ В ПЛОХОМ СОСТОЯНИИ - С ПОТОЛКОВ ОСЫПАЕТСЯ ШТУКАТУРКА, СМЫВ НА МНОГИХ УНИТАЗАХ НЕ РАБОТАЕТ, ДВЕРИ НЕ ЗАКРЫВАЮТСЯ, ЗАМКИ СЛОМАНЫ, САНТЕХНИКА РЖАВАЯ.;https://www.promonado.ru/domestos-schools/thumb/CB643E46-9A1B-4382-85B1-E0F61A5BEFE6.jpg;227;https://www.promonado.ru/domestos-schools/?voteid=137
МОСКВА;ЗНАМЕНСКАЯ УЛИЦА, ДОМ 12/4, "ШКОЛА № 1080" НА ВИД ТУАЛЕТЫ ВРОДЕ НЕ ПЛОХИЕ, НО ПЛИТКА КОЕ ГДЕ ОТВАЛИВАЕТСЯ. ДА И ПЛЕСЕНИ МНОГО.;https://www.promonado.ru/domestos-schools/thumb/03897B7B-ED39-49B2-AB6D-CCAF9CEE1752.jpg;1;https://www.promonado.ru/domestos-schools/?voteid=138
МОСКВА;, 3-Я ГРАЖДАНСКАЯ УЛИЦА, ДОМ 64, "ШКОЛА № 1797 ВОТ ТАКИЕ ТУАЛЕТЫ. ГДЕ-ТО ЧТО-ТО СЛОМАНО. ГДЕ-ТО ДВЕРИ НЕТ. НО ВСЕ ЧИСТО.;https://www.promonado.ru/domestos-schools/thumb/6CFB35F8-2624-4E4B-B7BA-E76596C6719E.jpg;7;https://www.promonado.ru/domestos-schools/?voteid=139
ОМСК;БОУ Г. ОМСКА "СОШ № 10" 2-Я СОЛНЕЧНАЯ УЛ., 15 ГОД ПОСТРОЙКИ ШКОЛЫ 1972. К СОЖАЛЕНИЮ В ТУАЛЕТАХ НЕ БЫЛО КАПИТАЛЬНОГО РЕМОНТА. НЕКОТОРЫЕ ДЕТИ, ОСОБЕННО ПЕРВОКЛАССНИКИ, КАТЕГОРИЧЕСКИ ОТКАЗЫВАЮТСЯ ПОСЕЩАТЬ САНУЗЕЛ, ТАК КАК ОН НАХОДИТСЯ В ПЛОХОМ СОСТОЯНИИ.;https://www.promonado.ru/domestos-schools/thumb/40D9F82A-C3CB-41F0-AD57-15FE798FA546.jpg;7;https://www.promonado.ru/domestos-schools/?voteid=140
Г. УЛАН-УДЭ;670033, РЕСПУБЛИКА БУРЯТИЯ, Г. УЛАН-УДЭ, УЛ. ЖЕРДЕВА, 122"МАОУ СОШ № 32 Г. УЛАН-УДЭ" НАШЕЙ ШКОЛЕ ТРЕБУЕТСЯ КАПИТАЛЬНЫЙ РЕМОНТ ТУАЛЕТОВ В СПОРТИВНОМ ЗАЛЕ. ЗА ВСЕ ВРЕМЯ РАБОТЫ ШКОЛЫ ПРОВОДИЛСЯ ТОЛЬКО ТЕКУЩИЙ КОСМЕТИЧЕСКИЙ РЕМОНТ И РЕМОНТ САНТЕХНИКИ.;https://www.promonado.ru/domestos-schools/thumb/CE2F7383-9EED-4A9D-8289-6C22BB6C99AC.jpg;268;https://www.promonado.ru/domestos-schools/?voteid=145
ИВАНОВО;МБОУ "СШ № 58" (УЛ.ДУНАЕВА, Д.13) ШКОЛЬНЫЕ ТУАЛЕТЫ ПОДДЕРЖИВАЮТСЯ В НОРМАЛЬНОМ СОСТОЯНИИ, НО ВСЕ ЖЕ ТРЕБУЮТ РЕМОНТА, УСТАРЕЛА САНТЕХНИКА, ДЕТЯМ ХОЧЕТСЯ СОВРЕМЕННОГО РЕМОНТА. ЛИЦО ЛЮБОЙ ОРГАНИЗАЦИИ - ЭТО БУФЕТ И ТУАЛЕТ. И ЕСЛИ В НАШЕЙ СТОЛОВОЙ ПРИЯТНО НАХОДИТЬСЯ, ТО В ТУАЛЕТ НЕ ХОЧЕТСЯ НИКОГО ПУСКАТЬ.;https://www.promonado.ru/domestos-schools/thumb/7EE166A5-4ACC-404C-A22B-B52136544D02.jpg;7;https://www.promonado.ru/domestos-schools/?voteid=151
КИНЕШМА;МБОУ ШКОЛА 19 Г. КИНЕШМА УЛ. 50 - ЛЕТИЯ КОМСОМОЛА Д. 27 В ШКОЛЕ НЕОБХОДИМ КОСМЕТИЧЕСКИЙ РЕМОНТ ТУАЛЕТОВ В НАЧАЛЬНОМ ЗВЕНЕ С 1-4КЛАССЫ.;https://www.promonado.ru/domestos-schools/thumb/72656EB0-5285-4EF8-AC6A-8C2E84A05AD4.jpg;6;https://www.promonado.ru/domestos-schools/?voteid=154
ВАЛУЙКИ;МОУ "СОШ №3", УЛ. КОМСОМОЛЬСКАЯ, Д.28 В ТУАЛЕТ ДОЧЬ ЗАХОТЕЛА, ПОШЛА, ЛУЧШЕ Б НЕ ХОТЕЛА. ЧТО НАМ ДЕЛАТЬ?КАК НАМ БЫТЬ? НУЖЕН СРОЧНО ТАМ РЕМОНТ!!!;https://www.promonado.ru/domestos-schools/thumb/253D51AA-C19A-4F72-8986-823F77234455.jpg;6;https://www.promonado.ru/domestos-schools/?voteid=155
ВУКТЫЛ;МБОУ "СОШ№2 ИМ. Г.В. КРАВЧЕНКО", РЕСПУБЛИКА КОМИ, ГОРОД ВУКТЫЛ, УЛИЦА КОММУНИСТИЧЕСКАЯ, ДОМ 11 В ШКОЛАХ, ОСОБЕННО В ГЛУБИНКЕ, ФИНАНСИРОВАНИЕ НА СТАТЬИ, КОТОРЫЕ НАПРЯМУЮ НЕ СВЯЗАНЫ С ОБУЧЕНИЕМ, ИДУТ ПО ОСТАТОЧНОМУ ПРИНЦИПУ. НЕ ИСКЛЮЧЕНИЕ И НАША ШКОЛА. ОБЫЧНО ЭТО НЕКИЙ КОСМЕТИЧЕСКИЙ РЕМОНТ БЕЗ КАЧЕСТВЕННЫХ ИЗМЕНЕНИЙ. А УЧИТЫВАЯ, ЧТО ЭТО ВТОРОЙ ДОМ, ДЕТЯМ В НЕЙ ДОЛЖНО БЫТЬ УЮТНО. И ЕСЛИ ПАРНЕЙ ЭТО СМУЩАЕТ В МЕНЬШЕЙ СТЕПЕНИ, ТО У ДЕВОЧЕК ВЫЗЫВАЕТ ДИСКОМФОРТ И НАРУШЕНИЕ ЛИЧНОСТНОГО ПРОСТРАНСТВА, СТЕСНЕНИЕ И СТРАХ. ЧАСТО ЭТО КАСАЕТСЯ КАК РАЗ ПОДРОСТКОВ. А ЭТО ВСЁ МОЖЕТ ПРИВЕСТИ И К ПРОБЛЕМАМ СО ЗДОРОВЬЕМ. ХОТЕЛОСЬ БЫ ПОКАЗАТЬ, ЧТО И В ШКОЛАХ МОГУТ БЫТЬ КАЧЕСТВЕННЫЕ САНУЗЛЫ, КОТОРЫХ МОЖНО НЕ БОЯТЬСЯ И СПОКОЙНО ОСУЩЕСТВЛЯТЬ ФИЗИОЛОГИЧЕСКИЕ ПОТРЕБНОСТИ. ЭТО БЫЛА БЫ ОГРОМНАЯ ПОМОЩЬ И ПОДСПОРЬЕ, А ВПОСЛЕДСТВИИ, ВОЗМОЖНО, ПОДВИГЛО НА ИЗМЕНЕНИЕ ОБЛИКА И ДРУГИХ КОМНАТ.;https://www.promonado.ru/domestos-schools/thumb/823A3978-26E5-427C-B8AA-B9327BB37AEA.jpg;6;https://www.promonado.ru/domestos-schools/?voteid=156
НОВОКУЗНЕЦК;УЛ.ГРДИНЫ, 20, МБ НОУ "ГИМНАЗИЯ 48" РЕМОНТ В ТУАЛЕТАХ БЫЛ НЕСКОЛЬКО ЛЕТ НАЗАД.;https://www.promonado.ru/domestos-schools/thumb/BD89E994-DC44-4C2F-8CFC-084C1BB99BCD.jpg;52;https://www.promonado.ru/domestos-schools/?voteid=157
БАЛЕЙ;ЗАБАЙКАЛЬСКИЙ КРАЙ Г. БАЛЕЙ УЛ. ДАРАСУНСКАЯ 8 МКОУ"ООШ" 4 ДОБРЫЙ ДЕНЬ! НАША ШКОЛА СУЩЕСТВУЕТ С 1952 ГОДА, ТУАЛЕТ БЫЛ УЛИЧНЫЙ, БЛАГОДАРЯ ТОМУ ЧТО НАШИ УПРАВЛЕНЦЫ РЕШИЛИ ЧТО НУЖНЫ ТЕПЛЫЕ ТУАЛЕТЫ ДЛЯ ШКОЛ НАМ СООРУДИЛИ, КАК СМОГЛИ, ЗАПАХ КОНЕЧНО УЖАСНЫЙ РЯДОМ КЛАССЫ. ЕЩЕ ПРОБЛЕМЫ С ЕМКОСТЯМИ ПОД ВОДУ, ПОСЛЕ ТУАЛЕТА ДЕТИ НЕ МОГУТ ВЫМЫТЬ РУКИ, ВОДЫ НЕХВАТАЕТ. ПОМОГИТЕ НАМ!!!;https://www.promonado.ru/domestos-schools/thumb/4E5E09DD-C84F-4417-A340-4D3855CA03C3.jpg;1;https://www.promonado.ru/domestos-schools/?voteid=159
;МБОУ "СОШ4", РЕСПУБЛИКА КАЛМЫКИЯ, Г. ЭЛИСТА, УЛИЦА ИЛИШКИНА, 16 СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 4 - ОДНА ИЗ СТАРЕЙШИХ ШКОЛ ГОРОДА ЭЛИСТЫ, ОСНОВАНА В 1957 ГОДУ. НАШЕЙ ШКОЛЕ ОЧЕНЬ ТРЕБУЕТСЯ КАПИТАЛЬНЫЙ РЕМОНТ ТУАЛЕТОВ, ТАК КАК ЗА ВРЕМЯ РАБОТЫ ШКОЛЫ ПРОВОДИЛСЯ ТОЛЬКО ТЕКУЩИЙ КОСМЕТИЧЕСКИЙ РЕМОНТ.;https://www.promonado.ru/domestos-schools/thumb/335B0736-B799-4C50-A37D-9F5DBADECDA3.jpg;94;https://www.promonado.ru/domestos-schools/?voteid=160
;МБОУ "СОШ4", РЕСПУБЛИКА КАЛМЫКИЯ, Г. ЭЛИСТА, УЛИЦА ИЛИШКИНА, 16 СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА 4 - ОДНА ИЗ СТАРЕЙШИХ ШКОЛ ГОРОДА ЭЛИСТЫ. КАПИТАЛЬНОГО РЕМОНТА ТУАЛЕТОВ НЕ БЫЛО С 1957 ГОДА, С ВРЕМЕН ОСНОВАНИЯ ШКОЛЫ.;https://www.promonado.ru/domestos-schools/thumb/335B0736-B799-4C50-A37D-9F5DBADECDA3.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=161
