Город;Описание;Картинка;Голосов;Ссылка
ЗАВОЛЖЬЕ, НИЖЕГОРОДСКАЯ ОБЛАСТЬ;МБОУ СРЕДНЯЯ ШКОЛА № 15, Г. ЗАВОЛЖЬЕ, УЛ. ПУШКИНА, 4 НУЖЕН РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/04E2A107-FE03-47E4-B4FA-DE17EFE3A763.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=247
ЗАВОЛЖЬЕ, НИЖЕГОРОДСКАЯ ОБЛ;МБОУ «СРЕДНЯЯ ШКОЛА № 8", Г. ЗАВОЛЖЬЕ ЖДЕМ РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/064C7E7B-0A14-438B-AED5-E16F9AA153F8.jpg;7;https://www.promonado.ru/domestos-schools/?voteid=252
ЗАВОЛЖЬЕ, НИЖЕГОРОДСКАЯ ОБЛ;МБОУ «СРЕДНЯЯ ШКОЛА № 8", Г. ЗАВОЛЖЬЕ ТРЕБУЕТСЯ РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/064C7E7B-0A14-438B-AED5-E16F9AA153F8.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=253
ВОЛГОГРАД;МОУ ГИМНАЗИЯ 12 ШКОЛА ОЧЕНЬ СТАРАЯ , БЫВШАЯ СПОРТ ШКОЛА ФК РОТОР, ГДЕ УЧИЛИСЬ ШАГИ ФУТБОЛИСТЫ . СЕЙЧАС ОНА ФУНКЦИОНИРУЕТ 1 ГОД И КОНЕЧНО РЕМОНТ НУЖЕН ОЧЕНЬ ОЧЕНЬ . ;https://www.promonado.ru/domestos-schools/thumb/24D90AEE-A1F4-4D95-98F9-A728E5B74F11.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=254
НИЖНЕВАРТОВСК;ДЗЕРЖИНСКОГО, 17А, МБОУ «ЛИЦЕЙ» АПГРЕЙД ШКОЛЬНОГО ТУАЛЕТА, В СТИЛЬНОМ СОВРЕМЕННОМ СТИЛЕ;https://www.promonado.ru/domestos-schools/thumb/46727A55-AC02-4F7E-BAE2-4F6780A2101C.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=255
ИШИМБАЙ;РФ, РЕСПУБЛИКА БАШКОРТОСТАН, Г. ИШИМБАЙ, УЛ. ПРОЛЕТАРСКАЯ, 27 МБОУ СОШ16 ТУАЛЕТ МУЖСКОЙ, 4 КАБИНКИ, НУЖНЫ ПЛАСТИКОВЫЕ ОКНА, ОТВАЛИЛАСЬ ПЛИТКА;https://www.promonado.ru/domestos-schools/thumb/FE20B0D3-9B05-4165-9426-6B9CF396CBE5.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=256
САРАТОВ;УЛ.КАВКАЗСКАЯ,Д.17 МОУ "СОШ № 40 ИМ.Г.Д.ЕРМОЛАЕВА" ЭТО ФОТО ТУАЛЕТА 1 ЭТАЖА, 2 И 3 ЭТАЖ ТАКИЕ ЖЕ. Я ДАЖЕ НЕ ЗНАЮ, КАК ОПИСАТЬ! ВСЯ КРАСОТА НА ЛИЦО! ХОТЕЛОСЬ ЧТО-НИБУДЬ ПОПРИЛИЧНЕЕ ДЛЯ ДЕТЕЙ.;https://www.promonado.ru/domestos-schools/thumb/0EB434A8-A26A-4B5D-9F7F-F16635FB7476.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=257
Г. ЗМЕИНОГОРСК;УЛ. ПУГАЧЕВА, 18, МБОУ ЗМЕИНОГОРСКАЯ СОШ 3 ШКОЛА СТРОИЛАСЬ ДАВНО. В ТУАЛЕТЕ ДЕЛАЕТСЯ КОСМЕТИЧЕСКИЙ РЕМОНТ.;https://www.promonado.ru/domestos-schools/thumb/386ADBC6-BDB2-4F9B-AE35-E50EE37FACCB.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=260
;САНКТ-ПЕТЕРБУРГ, КУПЧИНСКАЯ, Д.11, КОРП.4, ГБОУ ШКОЛА 443 В ШКОЛЕ ОБУЧАЮТСЯ ДЕТИ С ОВЗ (120ЧЕЛ), ТУАЛЕТЫ НЕ ПРИСПОСОБЛЕНЫ ДЛЯ ТАКИХ ДЕТЕЙ: УЗКИЕ КАБИНКИ, СМЫВ С ПОМОЩЬЮ КРАНА НА ТРУБЕ НАД УНИТАЗОМ, УНИТАЗЫ ИМЕЮТ СКОЛЫ, ПЛИТКА НА СТЕНАХ ОТВАЛИЛАСЬ.;https://www.promonado.ru/domestos-schools/thumb/62983502-33DB-4C05-BAF1-ECB36A43996C.jpg;62;https://www.promonado.ru/domestos-schools/?voteid=263
МОСКВА;УЛИЦА ЗООЛОГИЧЕСКАЯ, 28С1, ГБОУ "ШКОЛА №1950 ДОБРЫЙ ДЕНЬ! НАША УЮТНАЯ ШКОЛА НАХОДИТСЯ В САМОМ ЦЕНТРЕ СТОЛИЦЫ НАШЕЙ РОДИНЫ! МЫ БУДЕМ ОЧЕНЬ РАДЫ, ЕСЛИ НАШИ САНУЗЛЫ СТАНУТ ЕЩЁ БОЛЕЕ КОМФОРТНЫМИ И СОВРЕМЕННЫМИ!;https://www.promonado.ru/domestos-schools/thumb/D1AD152B-2DEC-4118-A320-62F62FA3B8AA.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=265
ОЗЁРЫ;МОСКОВСКАЯ ОБЛАСТЬ, ОЗЁРСКИЙ РАЙОН, Д. ЕМЕЛЬЯНОВКА, УЛ. САДОВАЯ, МБОУ ЕМЕЛЬЯНОВСКАЯ СОШ ТРЕБУЕТСЯ ЗАМЕНА ПЛИТКИ, ПЕРЕГОРОДОК;https://www.promonado.ru/domestos-schools/thumb/96849C15-8858-4278-8391-9E7BD1CF74B2.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=266
ОЗЁРЫ;МОСКОВСКАЯ ОБЛАСТЬ, ОЗЁРСКИЙ РАЙОН, Д. ЕМЕЛЬЯНОВКА, УЛ. САДОВАЯ, МБОУ ЕМЕЛЬЯНОВСКАЯ СОШ ТРЕБУЕТСЯ ЗАМЕНА ПЛИТКИ, УНИТАЗОВ И ПЕРЕГОРОДОК;https://www.promonado.ru/domestos-schools/thumb/96849C15-8858-4278-8391-9E7BD1CF74B2.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=267
ПОСЕЛОК МАЙСКИЙ;369118, КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА, ПРИКУБАНСКИЙ РАЙОН, П. МАЙСКИЙ, УЛ МОЛОДЕЖНАЯ 21. МКОУ"СОШ ПОС МАЙСКИЙ" НА СТЕНАХ НЕТ КАФЕЛЯ И У ДЕВОЧКАХ ТОЖЕ, ДВЕРИ СТАРЫЕ. НЕТ ТУАЛЕТА ДЛЯ ОВЗ. 40 ЛЕТ ШКОЛЕ, КАПИТАЛЬНОГО РЕМОНТА НЕ БЫЛО. СТАРАЕМСЯ ПОДДЕРЖИВАТЬ ЧИСТОТУ СВОИМИ СИЛАМИ. ХОТЕЛОСЬ БЫ ИМЕТЬ СОВРЕМЕННЫЙ ТУАЛЕТ.;https://www.promonado.ru/domestos-schools/thumb/0CAF7D0C-B56B-4086-8B60-6246EDC28DED.jpg;1;https://www.promonado.ru/domestos-schools/?voteid=268
БРАТСК;665709 ИРКУТСКАЯ ОБЛАСТЬ Г. БРАТСК УЛ. НАЙМУШИНА, 18 А ТУАЛЕТЫ ДЛЯ ДЕВОЧЕК И МАЛЬЧИКОВ РАСПОЛОЖЕНЫ НА 1 ЭТАЖЕ ШКОЛЫ. ПОТОЛОК, СТЕНЫ, ПОЛ ПОКРАШЕНЫ. НО ИЗ-ЗА ВЛАГИ КРАСКА ВСТАЕТ "ШУБОЙ". САНТЕХНИЧЕСКЕ ОБОРУДОВНИЕ НЕ МЕНЯЛОСЬ С МОМЕНТА ОСНОВАНИЯ ШКОЛЫ - 1979 ГОДА. ТУАЛЕТЫ ТРЕБУЮТ КАПИТАЛЬНОГО РЕМОНТА. ПОДДЕРЖИВАЕМ ПОРЯДОК, НО ХОТЕЛОСЬ БЫ СОЗДАТЬ УСЛОВИЯ, КОМФОРТНЫЕ ДЛЯ ДЕТЕЙ.;https://www.promonado.ru/domestos-schools/thumb/B7D7703C-80AD-46D3-AFC3-78A348453650.jpg;13;https://www.promonado.ru/domestos-schools/?voteid=270
АРТЕМ, ПРИМОРСКИЙ КРАЙ;ШКОЛА #11 ТУАЛЕТЫ ОЧЕНЬ НЕУЮТНЫЕ С ПОСТОЯННЫМ ЗАПАХОМ! ОЧЕНЬ НАДО СДЕЛАТЬ САНИТАРНЫЕ ЗОНЫ ПРИЯТНЫМИ ДЛЯ ПОЛЬЗОВАНИЯ. ПРИУЧАТЬ ДЕТЕЙ К КУЛЬТУРЕ ПОЛЬЗОВАНИЯ ТУАЛЕТНЫМИ КОМНАТАМИ. В ШКОЛЕ УЧАТСЯ ДВА МОИХ СЫНА 8 И 13 ЛЕТ. ШКОЛА БОЛЬШАЯ - 1500ЧЕЛ. ПРОХОДИМОСТЬ САН ЗОН ВЫСОКАЯ. СДЕЛАЙТЕ, ПОЖАЛУЙСТА, ДОБРО ДЕТЯМ!! P.S. КОГДА Я ПОПРОСИЛА СДЕЛАТЬ ФОТО ТУАЛЕТА В ШКОЛЕ, ТО ОН СКАЗАЛ, ЧТО ТАМ СТРЕМНО И ОН ТУДА НЕ ХОДИТ. УЖАС!!!!;https://www.promonado.ru/domestos-schools/thumb/CD160CEF-AE0B-43DF-9C67-5D8C1C9F5640.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=271
КЧР, ПРИКУБАНСКИЙ РАЙОН, СЕЛО ЗНАМЕНКА;МКОУ "ГИМНАЗИЯ С. ЗНАМЕКА" ТАК СЛОЖИЛОСЬ, ЧТО ТУАЛЕТЫ ВНУТРИ ЗДАНИЯ ШКОЛЫ ПРИШЛИ В НЕГОДОСТЬ И ВСЕ ДЕТИ С ПЕРВОГО ПО ОДИННАДЦАТЫЙ КЛАСС ВЫНУЖДЕНЫ ПОЛЬЗОВАТЬСЯ УЛИЧНЫМ СТАРЫМ И НЕБЕЗОПАСНЫМ ТУАЛЕТОМ. ВСЕГО ДВА ПОМЕЩЕНИЯ, В КОТОРЫХ В УЖАСНЫХ УСЛОВИЯХ БЕЗ ВОЗМОЖНОСТИ ПОВЕСИТЬ ВЕРХНЮЮ ОДЕЖДУ (ЗИМОЙ-ТО В КУРТКАХ БЕГУТ ПО УЛИЦЕ) СПРАВЛЯЮТ НУЖДУ НАШИ МАЛЫШИ. ОБ ИНДИВИДУАЛЬНОМ НАХОЖДЕНИИ ТАМ И РЕЧИ НЕТ - СКРОМНЫЕ ПЕРЕГОРОДКИ ПО ПОЯС. ПЕРИОДИЧЕСКИ ПОСКАЛЬЗЫВАЯСЬ, ДЕТИ ТО НА БЕТОН ПАДАЮТ, ТО В ДЫРУ НОГОЙ ПОПАДАЮТ. В ШКОЛЕ ЕСТЬ ВОЗМОЖНОСТЬ УСТАНОВКИ - КУХНЯ И УМЫВАЛЬНИКИ ПОЛЬЗУЮТСЯ КАНАЛИЗАЦИЕЙ, А В ДОШКОЛЬНОЙ ГРУППЕ, КОТОРАЯ РАБОТАЛА ДО ПОСТРОЙКИ САДИКА, БЫЛИ ТУАЛЕТЫ В ПОМЕЩЕНИИ. У РАЙОНА НЕТ ВОЗМОЖНОСТИ НАМ ПОМОЧЬ. НАМ ОЧЕНЬ НУЖНА ВАША ПОМОЩЬ И ВНИМАНИЕ!!!;https://www.promonado.ru/domestos-schools/thumb/0A1161C9-325C-4F4D-8E89-826257A19415.jpg;70;https://www.promonado.ru/domestos-schools/?voteid=272
ВОЛГОГРАД;ГИМНАЗИЯ 12 РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/864D0A94-E1C5-4E3D-857A-9FFD53189032.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=273
СЕЛО ЗНАМЕНКА ПРИКУБАНСКОГО РАЙОНА, КЧР;369115 МКОУ "ГИМНАЗИЯ СЕЛА ЗНАМЕНКА" ПОМОГИТЕ НАМ ВЕРНУТЬ ТУАЛЕТ В ШКОЛУ! ТАК СЛОЖИЛОСЬ, ЧТО МНОГО ЛЕТ НАЗАД ТУАЛЕТЫ В ЗДАНИИ ШКОЛЫ ПРИШЛИ В НЕГОДНОСТЬ И ИХ ЗАКОЛОТИЛИ И ТЕПЕРЬ НАШИ МАЛЫШИ С ПЕРВОГО ПО ОДИННАДЦАТЫЙ КЛАСС ВЫНУЖДЕНЫ И ЗИМОЙ И ЛЕТОМ ПОСЕЩАТЬ УЛИЧНЫЙ УЖАСНЫЙ ТУАЛЕТ. НИ О ГИГИЕНЕ, НИ ОБ УДОБСТВЕ И РЕЧИ НЕТ. В ШКОЛЕ ЕСТЬ ВОДОСНАБЖЕНИЕ И ВОДООТВЕДЕНИЕ - КУХНЯ И УМЫВАЛЬНИКИ ИСПРАВНО РАБОТАЮТ. ПОМОГИТЕ НАМ, ПОЖАЛУЙСТА!;https://www.promonado.ru/domestos-schools/thumb/99293724-AE48-4922-B139-F57DCE75C3DA.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=276
СЫЗРАНЬ;ГБОУ ЛИЦЕЙ ГОРОДА СЫЗРАНИ. УЛ. СОЛОВЬЁВА, 8 ШКОЛА – ЭТО СВЕТЛЫЙ ДОМ, МЫ УЧИТЬСЯ БУДЕМ В НЕМ! НАМ УЮТНО И ТЕПЛО, ТОЛЬКО ЧУТЬ НЕ ПОВЕЗЛО… В КОМНАТЕ СЕКРЕТНОЙ ДЕТСКОЙ ТУАЛЕТНОЙ ОБЛЕТЕЛА КРАСКА СТЕН, ПОКОСИЛАСЬ ДВЕРЬ СОВСЕМ… НАМ РЕМОНТ НЕ ОДОЛЕТЬ! МЫ ВАС ПРОСИМ ПОСМОТРЕТЬ ГОЛОС СВОЙ В ЛИЦЕЙ ОТДАТЬ, И С РЕМОНТОМ ПОМОГАТЬ!;https://www.promonado.ru/domestos-schools/thumb/EB248AF8-1AF6-4965-87AA-870C98A7E0EA.jpg;1;https://www.promonado.ru/domestos-schools/?voteid=277
;МБОУ "ЛИЦЕЙ 73". Г. БАРНАУЛ УЛ АНТОНА ПЕТРОВА 150 НАШ ЛИЦЕЙ- САМЫЙ ЛУЧШИЙ И ЛЮБИМЫЙ. К СОЖАЛЕНИЮ, НЕ МОЖЕМ СКАЗАТЬ ТОГО ЖЕ О ШКОЛЬНЫХ ТУАЛЕТАХ. ОЧЕНЬ НАДЕЕМСЯ НА РЕМОНТ.;https://www.promonado.ru/domestos-schools/thumb/0305746D-7EB6-45A0-80C9-4CF011F7AA29.jpg;392;https://www.promonado.ru/domestos-schools/?voteid=278
;МБОУ "ЛИЦЕЙ 73" Г. БАРНАУЛ УЛ. АНТОНА ПЕТРОВА Д 150 НАШ ЛИЦЕЙ- САМЫЙ ЛЮБИМЫЙ. ДЕТИ С УДОВОЛЬСТВИЕМ БЕГУТ КАЖДЫЙ ДЕНЬ НА ЗАНЯТИЯ. К СОЖАЛЕНИЮ, НЕЛЬЗЯ СКАЗАТЬ ТОГО ЖЕ О ТУАЛЕТАХ. ОЧЕНЬ НАДЕЕМСЯ НА РЕМОНТ ОТ ПРОГРАММЫ #DOMESTOS_ШКОЛАМ;https://www.promonado.ru/domestos-schools/thumb/299162A6-632D-45BB-9BDD-5EFF8C52E458.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=279
;МБОУ "ЛИЦЕЙ 73" Г. БАРНАУЛ УЛ. АНТОНА ПЕТРОВА Д 150 НАШ ЛИЦЕЙ-САМЫЙ ЛУЧШИЙ И ЛЮБИМЫЙ! К СОЖАЛЕНИЮ, НЕ МОЖЕМ СКАЗАТЬ ТОГО ЖЕ О ШКОЛЬНЫХ ТУАЛЕТАХ. ОЧЕНЬ НАДЕЕМСЯ НА РЕМОНТ ОТ #DOMESTOS_ШКОЛАМ;https://www.promonado.ru/domestos-schools/thumb/299162A6-632D-45BB-9BDD-5EFF8C52E458.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=280
;МБОУ "ЛИЦЕЙ 73" Г. БАРНАУЛ УЛ. АНТОНА ПЕТРОВА Д 150 НАШ ЛИЦЕЙ-САМЫЙ ЛУЧШИЙ И ЛЮБИМЫЙ! К СОЖАЛЕНИЮ, НЕ МОЖЕМ СКАЗАТЬ ТОГО ЖЕ О ШКОЛЬНЫХ ТУАЛЕТАХ. ОЧЕНЬ НАДЕЕМСЯ НА РЕМОНТ!;https://www.promonado.ru/domestos-schools/thumb/89C53800-8AE2-461D-B705-CDEABCBE6D02.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=281
;МБОУ СШ №17, УЛ ПУШКИНА, 3 ТРЕБУЕТСЯ РЕМОНТ.;https://www.promonado.ru/domestos-schools/thumb/DCD7BB33-BA9B-47E9-8071-8D6B1146A8C6.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=282
;МБОУ "ЛИЦЕЙ 73" Г. БАРНАУЛ, УЛ. А.ПЕТРОВА Д. 150 НАШ ЛИЦЕЙ-САМЫЙ ЛУЧШИЙ И ЛЮБИМЫЙ! К СОЖАЛЕНИЮ, НЕ МОЖЕМ СКАЗАТЬ ТОГО ЖЕ О ШКОЛЬНЫХ ТУАЛЕТАХ. ОЧЕНЬ НАДЕЕМСЯ НА РЕМОНТ!;https://www.promonado.ru/domestos-schools/thumb/907C1AB8-89C5-404F-93AF-5244B374EE34.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=283
;МБОУ "ЛИЦЕЙ 73" Г. БАРНАУЛ, УЛ. А.ПЕТРОВА Д. 150 НАШ ЛИЦЕЙ - САМЫЙ ЛУЧШИЙ И ЛЮБИМЫЙ! К СОЖАЛЕНИЮЮ, НЕ МОЖЕМ СКАЗАТЬ ТОГО ЖЕ О ШКОЛЬНЫХ ТУАЛЕТАХ. ОЧЕНЬ НУЖНА ПОМОЩЬ АКЦИИ!;https://www.promonado.ru/domestos-schools/thumb/907C1AB8-89C5-404F-93AF-5244B374EE34.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=284
СЕЛО ВОЛЖСКОЕ;ВОЛЖСКИЙ ФИЛИАЛ МКОУ "СОШ Г.НАРИМАНОВ" ЗДРАВСТВУЙТЕ, НАША ШКОЛА НАХОДИТСЯ В СЕЛЬСКОЙ МЕСТНОСТИ. У НАС ВСЕГО 330 ОБУЧАЮЩИХСЯ. ТУАЛЕТ НАХОДИТСЯ НА ДВУХ ЭТАЖАХ. ТУАЛЕТЫ ДЕЙСТВУЮЩИЕ, НО ХОТЕЛОСЬ БЫ ПРИДАТЬ ИМ БОЛЕЕ ЭСТЕТИЧНЫЙ И СОВРЕМЕННЫЙ ВИД. ФОТО ПРИЛАГАЕТСЯ;https://www.promonado.ru/domestos-schools/thumb/64B2A68B-9EA4-4386-AD0E-CC0F52BBC629.jpg;7;https://www.promonado.ru/domestos-schools/?voteid=285
САНКТ-ПЕТЕРБУРГ;УЛИЦА КУПЧИНСКАЯ ДОМ 11 КОРПУС 4 ШКОЛА НОМЕР 443 ТУАЛЕТЫ НАХОДИТСЯ В УЖАСНОМ СОСТОЯНИИ;https://www.promonado.ru/domestos-schools/thumb/A4B959A5-087D-43F2-9EB8-9651FE64D942.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=287
БРАТСК;МБОУ СОШ 41 УЛ. ЮБИЛЕЙНАЯ 5 ЗДРАВСТВУЙТЕ НАШ ТУАЛЕТ НУЖДАЕТСЯ В ХОРОШЕМ РЕМОНТЕ. ХОРОШАЯ УБОРНАЯ МЕЧТА ВСЕХ РАБОТНИКОВ ШКОЛЫ;https://www.promonado.ru/domestos-schools/thumb/B3FE5573-3C99-49D5-ABA1-913664769464.jpg;1;https://www.promonado.ru/domestos-schools/?voteid=288
;МБОУ СШ № 17, УЛ. ПУШКИНА, Д. 3 ТРЕБУЕТСЯ РЕМОНТ.;https://www.promonado.ru/domestos-schools/thumb/98F9930D-E79A-4DB5-B8C9-415EC58F1813.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=289
ЯРОСЛАВЛЬ;Г.ЯРОСЛАВЛЬ, УЛ.КУРЧАТОВА, Д.8 1. ТУАЛЕТ ДЛЯ УЧИТЕЛЕЙ- УПАЛА ПЛИТКА СО СТЕН ПО ВСЕМУ ПЕРИМЕТРУ ПОМЕЩЕНИЯ, УНИТАЗ СТАРЫЙ, КРЫШКА БАЧКА РАЗБИТА. 2. ТУАЛЕТ МАЛЬЧИКОВ НА 2 ЭТАЖЕ- ПАДАЕТ ПЛИТКА СО СТЕН. 3. НЕОБХОДИМО ЗАМЕНИТЬ КАНАЛИЗАЦИОННЫЕ ТРУБЫ, КОТОРЫЕ ПРОХОДЯТ ИЗ УЧИТЕЛЬСКОГО ТУАЛЕТА В ТУАЛЕТ МАЛЬЧИКОВ.;https://www.promonado.ru/domestos-schools/thumb/A52053A4-7EA2-412A-BD2C-CD3BF6F3E896.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=291
ЭЛИСТА;Г ЭЛИСТА, УЛ. С. СТАЛЬСКОГО, 6 МБОУ "СОШ 3 ИМ. СЕРГИЕНКО Н. Г" ИСТОРИЯ ТРЕТЬЕЙ ШКОЛЫ НАЧИНАЕТСЯ В 1947 ГОДУ. ЗДАНИЕ, В КОТОРОМ СЕЙЧАС НАХОДИТЬСЯ ШКОЛА, - ЭТО ТРЕТЬЕ ЗДАНИЕ. ПЕРЕСЕЛИЛИСЬ МЫ В 1985 ГОДУ. С ЭТОГО ВРЕМЕНИ КАПИТАЛЬНОГО РЕМОНТА НЕ БЫЛО НИ РАЗУ. УДОБСТВА ПОЛУТОРА ТЫСЯЧ ЛЮДЕЙ, НАХОДЯЩИХСЯ В ЭТОМ ЗДАНИИ С 8.00-18.00 ЧАСОВ, ДОЛЖНО БЫТЬ ПРЕВЫШЕ ВСЕГО. В ТУАЛЕТЕ НЕ РАБОТАЕТ СВЕТ, НЕ ФУНКЦИОНИРУЕТ СЛИВНОЙ БАЧОК, ПРИШЁЛ В НЕГОДНОСТЬ ВНУТРЕННИЙ ЗАМОК, ОТСУТВУЕТ ВЕНТИЛЯЦИЯ, НЕРАБОЧЕЕ СОСТОЯНИЕ САНТЕХНИКИ. УБЕДИТЕЛЬНО ПРОСИМ ПОМОЧЬ В РЕШЕНИИ ПРОБЛЕМЫ.;https://www.promonado.ru/domestos-schools/thumb/75319862-DD57-4B54-BD94-1B48698BD794.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=292
ЭЛИСТА;РЕСПУБЛИКА КАЛМЫКИЯ, Г. ЭЛИСТА МБОУ "СОШ 3 ИМ. СЕРГИЕНКО Н. Г." ИСТОРИЯ ТРЕТЬЕЙ ШКОЛЫ НАЧИНАЕТСЯ В 1947 ГОДУ. ЗДАНИЕ, В КОТОРОМ СЕЙЧАС НАХОДИТЬСЯ ШКОЛА, - ЭТО ТРЕТЬЕ ЗДАНИЕ. ПЕРЕСЕЛИЛИСЬ МЫ В 1985 ГОДУ. С ЭТОГО ВРЕМЕНИ КАПИТАЛЬНОГО РЕМОНТА НЕ БЫЛО НИ РАЗУ. УДОБСТВА ПОЛУТОРА ТЫСЯЧ ЛЮДЕЙ, НАХОДЯЩИХСЯ В ЭТОМ ЗДАНИИ С 8.00-18.00 ЧАСОВ, ДОЛЖНО БЫТЬ ПРЕВЫШЕ ВСЕГО. В ТУАЛЕТЕ НЕ РАБОТАЕТ СВЕТ, НЕ ФУНКЦИОНИРУЕТ СЛИВНОЙ БАЧОК, ПРИШЁЛ В НЕГОДНОСТЬ ВНУТРЕННИЙ ЗАМОК, ОТСУТВУЕТ ВЕНТИЛЯЦИЯ, НЕРАБОЧЕЕ СОСТОЯНИЕ САНТЕХНИКИ. УБЕДИТЕЛЬНО ПРОСИМ ПОМОЧЬ В РЕШЕНИИ ПРОБЛЕМЫ.;https://www.promonado.ru/domestos-schools/thumb/012F95FA-B707-4DDC-9329-16ED2BE1F0B0.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=293
АЛЬМЕТЬЕВСК, РТ;МАОУ «ЛИЦЕЙ-ИНТЕРНАТ #1 Г. АЛЬМЕТЬЕВСК» УЛ. ФАХРЕТДИНА 67 НОВЫЙ ОБРАЗ ДЕТСКОГО ТУАЛЕТА;https://www.promonado.ru/domestos-schools/thumb/96D0379D-2E40-4324-81F1-CF05279821B8.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=294
;МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ «ЛИЦЕЙ №23» НОВО-САВИНОВСКОГО РАЙОНА ЭТО ТУАЛЕТ ДЛЯ ДЕВОЧЕК. КАБИНОК НЕТ, А ДЕВОЧКАМ ОНИ НУЖНЫ. НА СТЕНАХ ГРЯЗНАЯ ПЛИТКА, ВСЯ В НАДПИСЯХ. В ТУАЛЕТЕ ОЧЕНЬ ВОНЯЕТ. ЧАСТО НА ПОЛУ ОГРОМНЫЕ ЛУЖИ.;https://www.promonado.ru/domestos-schools/thumb/DD964FE0-9AFA-44A5-B040-C6DD547DC354.jpg;9;https://www.promonado.ru/domestos-schools/?voteid=295
ЧЕБОКСАРЫ;ЛИЦЕЙ 44 Г. ЧЕБОКСАРЫ САМЫЙ ЛУЧШИЙ ЛИЦЕЙ;https://www.promonado.ru/domestos-schools/thumb/BBB1D009-7325-4FC4-AB18-26BC26ADB827.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=296
ШАМХАЛЯНГИЮРТ;ДАГЕСТАН, ШАМХАЛЯНГИЮРТОВСКАЯ СОШ КУМТОРКАЛИНСКОГО РАЙОНА ТУАЛЕТ НАХОДИТСЯ ДАЛЕКО ОТ ШКОЛЫ, ПО ДВА ОТСЕКА ДЛЯ МАЛЬЧИКОВ И ДЕВОЧЕК. АНТИСАНИТАРИЯ ПОЛНАЯ, НЕТ ВОДЫ, НЕТ РАКОВИН, НЕТ ПОДМЫВА, НЕТ ОТОПЛЕНИЯ, НЕТ СВЕТА, ДВЕРИ НЕ ЩАПИРАЮТСЯ. НА ВАС БОЛЬШАЯ НАДЕЖДА. ШКОЛА НАХОДИТСЯ В ПОЛУТОРА ЧАСАХ ОТ МАХАЧКАЛЫ. ШКОЛА НА 170 УЧЕНИКОВ.;https://www.promonado.ru/domestos-schools/thumb/730F098F-A733-4A73-A24E-6E8124FB63EB.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=298
ВОЛГОГРАД;УЛ. БУЛЬВАР 30 ЛЕТ ПОБЕДЫ, 66А, СОШ 102 ШКОЛА ПОСТРОЙКИ 1982 ГОДА....;https://www.promonado.ru/domestos-schools/thumb/6464E0F3-EC96-4F6C-8FD7-51B639FACBE4.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=299
МЕЖДУРЕЧЕНСК;ЛАЗО 33 ГИМНАЗИЯ 24 ПРИМИТЕ ПОЖАЛУЙСТА ЗАЯВКУ НА ЗАМЕНУ ТУАЛЕТА;https://www.promonado.ru/domestos-schools/thumb/89D71E44-FD7C-4705-A864-A21C5F560012.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=300
;МБОУ ШК № 3, УЛ ПИРОГОВА, 10 НУЖЕН РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/6C88A843-EB5A-46B3-B31A-76DA1025D60F.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=301
