banner,count,id,image,limit,page,s_desc,s_image,s_title,s_url,title,url,v_url,votes,win
winner_domestos.png,149,739,thumb/CF911F83-CF90-4C10-B8AC-BF137AAE323D.jpg,12,1,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=739,"Челябинская область г. Аша ул. Фрунзе д.34. МКОУ ""СОШ № 9 г. Аши (с профессиональным обучением)""",ajax/popup-school.php?id=739&sort_type=1,ajax/popup-subscribe.php?id=739,275,reserve
winner_domestos.png,,145,thumb/CE2F7383-9EED-4A9D-8289-6C22BB6C99AC.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=145,"670033, Республика Бурятия, г. Улан-Удэ, ул. Жердева, 122""МАОУ СОШ № 32 г. Улан-Удэ""",ajax/popup-school.php?id=145&sort_type=1,ajax/popup-subscribe.php?id=145,268,reserve
winner_domestos.png,,137,thumb/CB643E46-9A1B-4382-85B1-E0F61A5BEFE6.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=137,"Ул. Чкалова 15, средняя школа 58",ajax/popup-school.php?id=137&sort_type=1,ajax/popup-subscribe.php?id=137,227,reserve
winner_domestos.png,,654,thumb/D1730812-5C2C-4A03-BFA9-66FC29916A06.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=654,"677000 Республика Саха (Якутия), город Якутск, ул. Богатырева 2. МОБУ СОШ #21",ajax/popup-school.php?id=654&sort_type=1,ajax/popup-subscribe.php?id=654,193,reserve
winner_domestos.png,,195,thumb/5EB7E051-9EEA-4DF0-8CF1-88523F7F35AA.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=195,"Кемеровская область-Кузбасс, Муниципальное бюджетное общеобразовательное учреждение ""Гимназия 24""",ajax/popup-school.php?id=195&sort_type=1,ajax/popup-subscribe.php?id=195,189,reserve
winner_domestos.png,,127,thumb/F45BD868-6298-40FB-9886-91EC5A61DAA9.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=127,"601502, Владимирская область, г. Гусь-Хрустальный, Ул. Менделеева, д. 20 Муниципальное бюджетное общеобразовательное учреждение «Средняя Общеобразовательная школа № 1»",ajax/popup-school.php?id=127&sort_type=1,ajax/popup-subscribe.php?id=127,172,reserve
winner_domestos.png,,304,thumb/77B50267-E8CC-4A4A-943E-4038C6DBE34E.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=304,"Яворского 5а, МБОУ ""Школа № 54""",ajax/popup-school.php?id=304&sort_type=1,ajax/popup-subscribe.php?id=304,161,reserve
winner_domestos.png,,737,thumb/A8357410-524F-4030-B71B-A2A1BDE1C115.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=737,"Челябинская область, город Аша, ул. имени Героя России Конопелькина, д. № 1 МКОУ ""СОШ № 4 им. Героя России Конопелькина Е.Н."" г. Аши""",ajax/popup-school.php?id=737&sort_type=1,ajax/popup-subscribe.php?id=737,159,reserve
winner_domestos.png,,733,thumb/22291FF4-D4EC-4392-9648-3E38AB416EC0.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=733,"456007 Челябинская область Ашинский район город Миньяр улица Ленина дом 94. Муниципальное казенное общеобразовательное учреждение ""Средняя общеобразовательная школа № 4"" города Миньяра Ашинского муниципального района Челябинской области",ajax/popup-school.php?id=733&sort_type=1,ajax/popup-subscribe.php?id=733,156,reserve
winner_domestos.png,,180,thumb/4B06AD1F-5DA4-42C7-9ED8-6AEF8C7C4B37.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=180,"МОУ ""Тумская СОШ № 3"" Адрес: Рязанская область, Клепиковский район, рп Тума, ул. Советская д. 76А",ajax/popup-school.php?id=180&sort_type=1,ajax/popup-subscribe.php?id=180,151,reserve
